단어,키열,source
까다,ㄱㄱㅏㄷㅏ,krdict
까지,ㄱㄱㅏㅈㅣ,krdict
까치,ㄱㄱㅏㅊㅣ,candidates
깽,ㄱㄱㅏㅣㅇ,krdict
꼬다,ㄱㄱㅗㄷㅏ,krdict
꼬리,ㄱㄱㅗㄹㅣ,candidates
꼬마,ㄱㄱㅗㅁㅏ,candidates
꼬치,ㄱㄱㅗㅊㅣ,krdict
꽉,ㄱㄱㅗㅏㄱ,krdict
꽝,ㄱㄱㅗㅏㅇ,krdict
꽤,ㄱㄱㅗㅏㅣ,krdict
꾐,ㄱㄱㅗㅣㅁ,krdict
꾸다,ㄱㄱㅜㄷㅏ,krdict
꿩,ㄱㄱㅜㅓㅇ,krdict
끄다,ㄱㄱㅡㄷㅏ,krdict
끼니,ㄱㄱㅣㄴㅣ,krdict
끼다,ㄱㄱㅣㄷㅏ,krdict
각고,ㄱㅏㄱㄱㅗ,krdict
각기,ㄱㅏㄱㄱㅣ,krdict
각도,ㄱㅏㄱㄷㅗ,krdict
각료,ㄱㅏㄱㄹㅛ,krdict
각부,ㄱㅏㄱㅂㅜ,krdict
각서,ㄱㅏㄱㅅㅓ,krdict
각시,ㄱㅏㄱㅅㅣ,krdict
각오,ㄱㅏㄱㅇㅗ,candidates
각자,ㄱㅏㄱㅈㅏ,candidates
각주,ㄱㅏㄱㅈㅜ,krdict
각지,ㄱㅏㄱㅈㅣ,krdict
각처,ㄱㅏㄱㅊㅓ,krdict
각파,ㄱㅏㄱㅍㅏ,krdict
각하,ㄱㅏㄱㅎㅏ,krdict
가감,ㄱㅏㄱㅏㅁ,krdict
가게,ㄱㅏㄱㅓㅣ,candidates
가격,ㄱㅏㄱㅕㄱ,candidates
가결,ㄱㅏㄱㅕㄹ,krdict
가계,ㄱㅏㄱㅕㅣ,krdict
가곡,ㄱㅏㄱㅗㄱ,krdict
가공,ㄱㅏㄱㅗㅇ,krdict
가극,ㄱㅏㄱㅡㄱ,krdict
간교,ㄱㅏㄴㄱㅛ,krdict
간부,ㄱㅏㄴㅂㅜ,candidates
간사,ㄱㅏㄴㅅㅏ,krdict
간수,ㄱㅏㄴㅅㅜ,krdict
간여,ㄱㅏㄴㅇㅕ,krdict
간이,ㄱㅏㄴㅇㅣ,krdict
간조,ㄱㅏㄴㅈㅗ,krdict
간주,ㄱㅏㄴㅈㅜ,krdict
간지,ㄱㅏㄴㅈㅣ,krdict
간파,ㄱㅏㄴㅍㅏ,krdict
간호,ㄱㅏㄴㅎㅗ,candidates
가난,ㄱㅏㄴㅏㄴ,candidates
가늠,ㄱㅏㄴㅡㅁ,krdict
가능,ㄱㅏㄴㅡㅇ,candidates
가닥,ㄱㅏㄷㅏㄱ,krdict
가담,ㄱㅏㄷㅏㅁ,krdict
가동,ㄱㅏㄷㅗㅇ,krdict
가득,ㄱㅏㄷㅡㄱ,krdict
갈구,ㄱㅏㄹㄱㅜ,krdict
갈기,ㄱㅏㄹㄱㅣ,krdict
갈다,ㄱㅏㄹㄷㅏ,krdict
갈비,ㄱㅏㄹㅂㅣ,candidates
갈이,ㄱㅏㄹㅇㅣ,krdict
갈치,ㄱㅏㄹㅊㅣ,krdict
갈피,ㄱㅏㄹㅍㅣ,krdict
가락,ㄱㅏㄹㅏㄱ,krdict
가래,ㄱㅏㄹㅏㅣ,krdict
가량,ㄱㅏㄹㅑㅇ,krdict
가령,ㄱㅏㄹㅕㅇ,krdict
가름,ㄱㅏㄹㅡㅁ,krdict
감기,ㄱㅏㅁㄱㅣ,candidates
감다,ㄱㅏㅁㄷㅏ,krdict
감도,ㄱㅏㅁㄷㅗ,krdict
감리,ㄱㅏㅁㄹㅣ,krdict
감사,ㄱㅏㅁㅅㅏ,candidates
감소,ㄱㅏㅁㅅㅗ,candidates
감수,ㄱㅏㅁㅅㅜ,krdict
감시,ㄱㅏㅁㅅㅣ,krdict
감자,ㄱㅏㅁㅈㅏ,candidates
감주,ㄱㅏㅁㅈㅜ,krdict
감지,ㄱㅏㅁㅈㅣ,krdict
감초,ㄱㅏㅁㅊㅗ,krdict
감투,ㄱㅏㅁㅌㅜ,krdict
감호,ㄱㅏㅁㅎㅗ,krdict
감히,ㄱㅏㅁㅎㅣ,krdict
가만,ㄱㅏㅁㅏㄴ,krdict
가망,ㄱㅏㅁㅏㅇ,krdict
가면,ㄱㅏㅁㅕㄴ,krdict
가명,ㄱㅏㅁㅕㅇ,krdict
가문,ㄱㅏㅁㅜㄴ,krdict
가뭄,ㄱㅏㅁㅜㅁ,candidates
갑부,ㄱㅏㅂㅂㅜ,krdict
갑주,ㄱㅏㅂㅈㅜ,krdict
가발,ㄱㅏㅂㅏㄹ,krdict
가방,ㄱㅏㅂㅏㅇ,candidates
가법,ㄱㅏㅂㅓㅂ,krdict
가변,ㄱㅏㅂㅕㄴ,krdict
가봉,ㄱㅏㅂㅗㅇ,krdict
가불,ㄱㅏㅂㅜㄹ,krdict
가산,ㄱㅏㅅㅏㄴ,krdict
가상,ㄱㅏㅅㅏㅇ,candidates
가설,ㄱㅏㅅㅓㄹ,krdict
가성,ㄱㅏㅅㅓㅇ,krdict
가세,ㄱㅏㅅㅓㅣ,krdict
가속,ㄱㅏㅅㅗㄱ,krdict
가슴,ㄱㅏㅅㅡㅁ,candidates
가습,ㄱㅏㅅㅡㅂ,krdict
가식,ㄱㅏㅅㅣㄱ,krdict
가십,ㄱㅏㅅㅣㅂ,krdict
강가,ㄱㅏㅇㄱㅏ,krdict
강구,ㄱㅏㅇㄱㅜ,krdict
강도,ㄱㅏㅇㄷㅗ,candidates
강보,ㄱㅏㅇㅂㅗ,krdict
강사,ㄱㅏㅇㅅㅏ,candidates
강수,ㄱㅏㅇㅅㅜ,krdict
강시,ㄱㅏㅇㅅㅣ,krdict
강요,ㄱㅏㅇㅇㅛ,krdict
강우,ㄱㅏㅇㅇㅜ,krdict
