단어,키열
사람,ㅅㅏㄹㅏㅁ
사회,ㅅㅏㅎㅗㅣ
경우,ㄱㅕㅇㅇㅜ
자신,ㅈㅏㅅㅣㄴ
정도,ㅈㅓㅇㄷㅗ
시간,ㅅㅣㄱㅏㄴ
사실,ㅅㅏㅅㅣㄹ
다음,ㄷㅏㅇㅡㅁ
학교,ㅎㅏㄱㄱㅛ
정부,ㅈㅓㅇㅂㅜ
국가,ㄱㅜㄱㄱㅏ
여성,ㅇㅕㅅㅓㅇ
친구,ㅊㅣㄴㄱㅜ
마음,ㅁㅏㅇㅡㅁ
남자,ㄴㅏㅁㅈㅏ
지역,ㅈㅣㅇㅕㄱ
모습,ㅁㅗㅅㅡㅂ
이번,ㅇㅣㅂㅓㄴ
지금,ㅈㅣㄱㅡㅁ
처음,ㅊㅓㅇㅡㅁ
그때,ㄱㅡㄷㄷㅐ
이상,ㅇㅣㅅㅏㅇ
교육,ㄱㅛㅇㅠㄱ
역사,ㅇㅕㄱㅅㅏ
내용,ㄴㅐㅇㅛㅇ
시장,ㅅㅣㅈㅏㅇ
의미,ㅇㅡㅣㅁㅣ
정치,ㅈㅓㅇㅊㅣ
얘기,ㅇㅑㅣㄱㅣ
연구,ㅇㅕㄴㄱㅜ
엄마,ㅇㅓㅁㅁㅏ
이름,ㅇㅣㄹㅡㅁ
사건,ㅅㅏㄱㅓㄴ
대학,ㄷㅐㅎㅏㄱ
상태,ㅅㅏㅇㅌㅐ
당시,ㄷㅏㅇㅅㅣ
지방,ㅈㅣㅂㅏㅇ
자체,ㅈㅏㅊㅓㅣ
부분,ㅂㅜㅂㅜㄴ
기업,ㄱㅣㅇㅓㅂ
아들,ㅇㅏㄷㅡㄹ
선거,ㅅㅓㄴㄱㅓ
오늘,ㅇㅗㄴㅡㄹ
아침,ㅇㅏㅊㅣㅁ
기술,ㄱㅣㅅㅜㄹ
필요,ㅍㅣㄹㅇㅛ
하늘,ㅎㅏㄴㅡㄹ
자연,ㅈㅏㅇㅕㄴ
그림,ㄱㅡㄹㅣㅁ
혼자,ㅎㅗㄴㅈㅏ
이제,ㅇㅣㅈㅓㅣ
사랑,ㅅㅏㄹㅏㅇ
아빠,ㅇㅏㅂㅂㅏ
가슴,ㄱㅏㅅㅡㅁ
회사,ㅎㅗㅣㅅㅏ
표정,ㅍㅛㅈㅓㅇ
일부,ㅇㅣㄹㅂㅜ
요즘,ㅇㅛㅈㅡㅁ
얼마,ㅇㅓㄹㅁㅏ
세기,ㅅㅓㅣㄱㅣ
가족,ㄱㅏㅈㅗㄱ
형태,ㅎㅕㅇㅌㅐ
정보,ㅈㅓㅇㅂㅗ
국내,ㄱㅜㄱㄴㅐ
모양,ㅁㅗㅇㅑㅇ
조건,ㅈㅗㄱㅓㄴ
바람,ㅂㅏㄹㅏㅁ
마을,ㅁㅏㅇㅡㄹ
대회,ㄷㅐㅎㅗㅣ
공부,ㄱㅗㅇㅂㅜ
노력,ㄴㅗㄹㅕㄱ
언니,ㅇㅓㄴㄴㅣ
자식,ㅈㅏㅅㅣㄱ
주민,ㅈㅜㅁㅣㄴ
존재,ㅈㅗㄴㅈㅐ
분야,ㅂㅜㄴㅇㅑ
사업,ㅅㅏㅇㅓㅂ
수준,ㅅㅜㅈㅜㄴ
표현,ㅍㅛㅎㅕㄴ
기분,ㄱㅣㅂㅜㄴ
동시,ㄷㅗㅇㅅㅣ
기능,ㄱㅣㄴㅡㅇ
노동,ㄴㅗㄷㅗㅇ
이때,ㅇㅣㄷㄷㅐ
과거,ㄱㅗㅏㄱㅓ
현대,ㅎㅕㄴㄷㅐ
시절,ㅅㅣㅈㅓㄹ
개인,ㄱㅐㅇㅣㄴ
작가,ㅈㅏㄱㄱㅏ
효과,ㅎㅛㄱㅗㅏ
불교,ㅂㅜㄹㄱㅛ
최고,ㅊㅗㅣㄱㅗ
고향,ㄱㅗㅎㅑㅇ
소설,ㅅㅗㅅㅓㄹ
질서,ㅈㅣㄹㅅㅓ
시민,ㅅㅣㅁㅣㄴ
이날,ㅇㅣㄴㅏㄹ
자세,ㅈㅏㅅㅓㅣ
저녁,ㅈㅓㄴㅕㄱ
시험,ㅅㅣㅎㅓㅁ
시설,ㅅㅣㅅㅓㄹ
어른,ㅇㅓㄹㅡㄴ
주변,ㅈㅜㅂㅕㄴ
대신,ㄷㅐㅅㅣㄴ
차례,ㅊㅏㄹㅕㅣ
재산,ㅈㅐㅅㅏㄴ
조금,ㅈㅗㄱㅡㅁ
언어,ㅇㅓㄴㅇㅓ
그날,ㄱㅡㄴㅏㄹ
기간,ㄱㅣㄱㅏㄴ
담배,ㄷㅏㅁㅂㅐ
조직,ㅈㅗㅈㅣㄱ
대화,ㄷㅐㅎㅗㅏ
올해,ㅇㅗㄹㅎㅐ
도움,ㄷㅗㅇㅜㅁ
가정,ㄱㅏㅈㅓㅇ
사진,ㅅㅏㅈㅣㄴ
주장,ㅈㅜㅈㅏㅇ
경기,ㄱㅕㅇㄱㅣ
주위,ㅈㅜㅇㅜㅣ
대책,ㄷㅐㅊㅐㄱ
여름,ㅇㅕㄹㅡㅁ
기회,ㄱㅣㅎㅗㅣ
